# of domain, cohortId1, cohortId2, diff
278 , 27153 , 32879 , -5726
279 , 32879 , 32879 , 0
280 , 32879 , 32879 , 0
281 , 32879 , 32879 , 0
282 , 32879 , 32879 , 0
283 , 32879 , 32879 , 0
284 , 32879 , 32879 , 0
285 , 32879 , 32879 , 0
286 , 32879 , 32879 , 0
287 , 32879 , 32879 , 0
288 , 32879 , 32879 , 0
289 , 32879 , 32879 , 0
290 , 32879 , 32879 , 0
291 , 32879 , 32879 , 0
292 , 33159 , 33159 , 0
293 , 33159 , 33159 , 0
294 , 32879 , 32879 , 0
295 , 33159 , 33159 , 0
296 , 33159 , 33159 , 0
297 , 33159 , 33159 , 0
298 , 33159 , 33159 , 0
299 , 33159 , 33159 , 0
300 , 33159 , 33159 , 0
301 , 33161 , 33159 , 2
302 , 33159 , 33133 , 26
303 , 33159 , 33159 , 0
304 , 33159 , 22821 , 10338
305 , 23079 , 33161 , -10082
306 , 33159 , 33159 , 0
307 , 22821 , 33159 , -10338
308 , 33159 , 23077 , 10082
309 , 22821 , 22821 , 0
310 , 22821 , 32879 , -10058
311 , 22799 , 17701 , 5098
312 , 17701 , 23052 , -5351
313 , 22799 , 22799 , 0
314 , 22799 , 22800 , -1
315 , 22800 , 22799 , 1
316 , 22800 , 22799 , 1
317 , 22800 , 22799 , 1
318 , 22799 , 22800 , -1
319 , 22800 , 22800 , 0
320 , 22800 , 22799 , 1
321 , 22799 , 22799 , 0
322 , 22800 , 22800 , 0
323 , 22799 , 22799 , 0
324 , 22799 , 22800 , -1
325 , 22799 , 22800 , -1
326 , 22800 , 22799 , 1
327 , 22799 , 22799 , 0
328 , 22800 , 22800 , 0
329 , 22800 , 22799 , 1
330 , 22799 , 22799 , 0
331 , 22800 , 22799 , 1
332 , 22800 , 22800 , 0
333 , 22800 , 22800 , 0
334 , 22800 , 32853 , -10053
335 , 22800 , 22800 , 0
336 , 22800 , 22800 , 0
337 , 22800 , 22800 , 0
338 , 22800 , 22800 , 0
339 , 22800 , 22800 , 0
340 , 22800 , 22800 , 0
341 , 22800 , 22800 , 0
342 , 22800 , 22800 , 0
343 , 22800 , 22800 , 0
344 , 22800 , 22800 , 0
345 , 22800 , 22800 , 0
346 , 22800 , 32853 , -10053
347 , 32853 , 22800 , 10053
348 , 22800 , 22800 , 0
349 , 22800 , 32853 , -10053
350 , 32853 , 32853 , 0
351 , 32853 , 32853 , 0
352 , 27131 , 27131 , 0
353 , 27131 , 32853 , -5722
354 , 27131 , 27131 , 0
355 , 27131 , 27131 , 0
356 , 27131 , 27131 , 0
357 , 27131 , 27131 , 0
358 , 27131 , 27131 , 0
359 , 27131 , 27131 , 0
360 , 27131 , 27131 , 0
361 , 27131 , 27131 , 0
362 , 27131 , 27131 , 0
363 , 27131 , 27131 , 0
364 , 27131 , 27131 , 0
365 , 27131 , 27131 , 0
366 , 27131 , 27131 , 0
367 , 27131 , 27131 , 0
368 , 27131 , 27154 , -23
369 , 27131 , 27131 , 0
370 , 27131 , 27131 , 0
371 , 27131 , 27131 , 0
372 , 27131 , 27154 , -23
373 , 27154 , 27154 , 0
374 , 27131 , 27131 , 0
375 , 27154 , 27131 , 23
376 , 27131 , 27131 , 0
377 , 27131 , 27154 , -23
378 , 27131 , 27131 , 0
379 , 27131 , 27131 , 0
380 , 27131 , 27131 , 0
381 , 27131 , 27131 , 0
382 , 27131 , 27131 , 0
383 , 27131 , 27131 , 0
384 , 27131 , 27131 , 0
385 , 27131 , 27131 , 0
386 , 27131 , 27154 , -23
387 , 27154 , 27131 , 23
388 , 27131 , 27131 , 0
389 , 27131 , 27131 , 0
390 , 27131 , 27131 , 0
391 , 27131 , 27131 , 0
392 , 27131 , 27131 , 0
393 , 27131 , 27131 , 0
394 , 27154 , 27131 , 23
395 , 27131 , 27131 , 0
396 , 27131 , 27154 , -23
397 , 27154 , 27131 , 23
398 , 27131 , 27131 , 0
399 , 27131 , 27131 , 0
400 , 27585 , 27131 , 454
401 , 27131 , 27608 , -477
402 , 27608 , 27131 , 477
403 , 27131 , 27131 , 0
404 , 27131 , 27131 , 0
405 , 27131 , 27154 , -23
406 , 27131 , 27131 , 0
407 , 27131 , 27131 , 0
408 , 27131 , 27131 , 0
409 , 27131 , 27131 , 0
410 , 27131 , 25859 , 1272
411 , 25859 , 27131 , -1272
412 , 32853 , 32853 , 0
413 , 27131 , 31180 , -4049
414 , 32853 , 31180 , 1673
415 , 26835 , 33414 , -6579
416 , 27131 , 27131 , 0
417 , 26179 , 31180 , -5001
418 , 31617 , 26179 , 5438
419 , 26179 , 31617 , -5438
420 , 31617 , 31617 , 0
421 , 31617 , 31617 , 0
422 , 31617 , 31617 , 0
423 , 31617 , 31617 , 0
424 , 31617 , 31617 , 0
425 , 31617 , 32463 , -846
426 , 31617 , 31617 , 0
427 , 31617 , 31617 , 0
428 , 31618 , 31617 , 1
429 , 31180 , 21733 , 9447
430 , 22458 , 21733 , 725
431 , 21733 , 31617 , -9884
432 , 32463 , 22457 , 10006
433 , 21733 , 22458 , -725
434 , 22458 , 26179 , -3721
435 , 26179 , 31617 , -5438
436 , 31617 , 16888 , 14729
437 , 26179 , 26179 , 0
438 , 26179 , 31618 , -5439
439 , 31618 , 31617 , 1
440 , 31617 , 27382 , 4235
441 , 31617 , 21732 , 9885
442 , 31617 , 31617 , 0
443 , 31617 , 31618 , -1
444 , 31618 , 33134 , -1516
445 , 23053 , 23053 , 0
446 , 23054 , 23054 , 0
447 , 23054 , 23053 , 1
448 , 23053 , 23054 , -1
449 , 23054 , 23054 , 0
450 , 23054 , 23054 , 0
451 , 23054 , 23053 , 1
452 , 23080 , 23059 , 21
453 , 23059 , 23080 , -21
454 , 23080 , 23080 , 0
455 , 23080 , 23059 , 21
456 , 23086 , 23086 , 0
457 , 6850 , 23054 , -16204
458 , 33139 , 33162 , -23
459 , 33162 , 6850 , 26312
460 , 14221 , 23059 , -8838
461 , 23086 , 33134 , -10048
462 , 14221 , 14246 , -25
463 , 6850 , 33162 , -26312
464 , 33162 , 14221 , 18941
465 , 14221 , 6850 , 7371
466 , 14246 , 23080 , -8834
467 , 33162 , 33162 , 0
468 , 14246 , 14252 , -6
469 , 6855 , 14221 , -7366
470 , 14221 , 14246 , -25
471 , 14246 , 6640 , 7606
472 , 6850 , 14246 , -7396
473 , 14246 , 6850 , 7396
474 , 6640 , 14246 , -7606
475 , 14246 , 6850 , 7396
476 , 6640 , 6640 , 0
477 , 6640 , 6645 , -5
478 , 6645 , 6640 , 5
479 , 6640 , 6850 , -210
480 , 6850 , 6645 , 205
481 , 6645 , 6645 , 0
482 , 6645 , 6645 , 0
483 , 6645 , 6640 , 5
484 , 6645 , 6645 , 0
485 , 6645 , 6645 , 0
486 , 6645 , 6645 , 0
487 , 6645 , 6645 , 0
488 , 6645 , 6645 , 0
489 , 6645 , 6855 , -210
490 , 6855 , 6645 , 210
491 , 6645 , 6640 , 5
492 , 6850 , 6645 , 205
493 , 14037 , 14037 , 0
494 , 14246 , 7279 , 6967
495 , 7066 , 6645 , 421
496 , 14016 , 14463 , -447
497 , 14463 , 14252 , 211
498 , 14016 , 14445 , -429
499 , 14445 , 14445 , 0
500 , 14445 , 14037 , 408
501 , 14016 , 14445 , -429
502 , 14445 , 10440 , 4005
503 , 10629 , 14226 , -3597
504 , 14226 , 10069 , 4157
505 , 10445 , 10629 , -184
506 , 3137 , 10625 , -7488
507 , 10440 , 2351 , 8089
508 , 3130 , 10649 , -7519
509 , 10643 , 9842 , 801
510 , 9842 , 10625 , -783
511 , 10643 , 10643 , 0
512 , 10643 , 9842 , 801
513 , 10643 , 10643 , 0
514 , 10643 , 10643 , 0
515 , 14652 , 10643 , 4009
516 , 10643 , 10643 , 0
517 , 9842 , 3130 , 6712
518 , 3130 , 2351 , 779
519 , 9842 , 2351 , 7491
520 , 9842 , 9842 , 0
521 , 9842 , 2351 , 7491
522 , 2330 , 6339 , -4009
523 , 6339 , 2330 , 4009
524 , 2330 , 6339 , -4009
525 , 6339 , 6339 , 0
526 , 2330 , 9842 , -7512
527 , 9842 , 2351 , 7491
528 , 2351 , 9814 , -7463
529 , 9842 , 9842 , 0
530 , 2351 , 2351 , 0
531 , 9842 , 9842 , 0
532 , 9842 , 9842 , 0
533 , 9842 , 9842 , 0
534 , 10643 , 3111 , 7532
535 , 2351 , 9842 , -7491
536 , 9842 , 14652 , -4810
537 , 7274 , 3130 , 4144
538 , 9842 , 9842 , 0
539 , 10643 , 2351 , 8292
540 , 2351 , 10625 , -8274
541 , 10459 , 14652 , -4193
542 , 14458 , 6074 , 8384
543 , 10440 , 2125 , 8315
544 , 3130 , 10643 , -7513
545 , 10625 , 6048 , 4577
546 , 2105 , 9814 , -7709
547 , 9842 , 2351 , 7491
548 , 2351 , 2330 , 21
549 , 2330 , 9842 , -7512
550 , 2351 , 2351 , 0
551 , 2351 , 2351 , 0
552 , 2351 , 2351 , 0
553 , 2351 , 2351 , 0
554 , 2351 , 9609 , -7258
555 , 2125 , 2351 , -226
556 , 2351 , 2351 , 0
557 , 2125 , 2351 , -226
558 , 2351 , 2125 , 226
559 , 2939 , 2125 , 814
560 , 2125 , 2125 , 0
561 , 3130 , 2125 , 1005
562 , 2939 , 2939 , 0
563 , 2939 , 2125 , 814
564 , 2125 , 2939 , -814
565 , 2939 , 2939 , 0
566 , 6074 , 2939 , 3135
567 , 14458 , 7061 , 7397
568 , 7061 , 6074 , 987
569 , 14458 , 14458 , 0
570 , 14458 , 7061 , 7397
571 , 7061 , 14458 , -7397
572 , 14458 , 14458 , 0
573 , 13486 , 13486 , 0
574 , 14458 , 14458 , 0
575 , 14458 , 14458 , 0
576 , 14458 , 13486 , 972
577 , 14458 , 10459 , 3999
578 , 14458 , 2939 , 11519
579 , 2125 , 6074 , -3949
580 , 2939 , 10459 , -7520
581 , 2939 , 2939 , 0
582 , 2125 , 2939 , -814
583 , 2125 , 2125 , 0
584 , 2125 , 2125 , 0
585 , 9609 , 2125 , 7484
586 , 2125 , 2125 , 0
587 , 9609 , 2125 , 7484
588 , 2125 , 2125 , 0
589 , 2125 , 2125 , 0
590 , 2125 , 2127 , -2
591 , 2127 , 2127 , 0
592 , 2127 , 2127 , 0
593 , 2127 , 6077 , -3950
594 , 6077 , 2127 , 3950
595 , 2127 , 2127 , 0
596 , 2127 , 2127 , 0
597 , 2127 , 2127 , 0
598 , 2127 , 2127 , 0
599 , 2127 , 2127 , 0
600 , 2127 , 6078 , -3951
601 , 6078 , 2127 , 3951
602 , 6078 , 2127 , 3951
603 , 6078 , 2127 , 3951
604 , 6077 , 6078 , -1
605 , 6078 , 6077 , 1
606 , 6077 , 6077 , 0
607 , 13489 , 9611 , 3878
608 , 13489 , 6077 , 7412
609 , 13489 , 13489 , 0
610 , 9611 , 9611 , 0
611 , 9608 , 9611 , -3
612 , 9611 , 9611 , 0
613 , 9608 , 9611 , -3
